state,county,program_type,plan_name,parent_org,geographic_region,medicaid_enrollment,dual_enrollment,total_enrollment,source_url,source_year,notes
WI,Milwaukee,Marketplace QHP,Molina Healthcare (Marketplace),Molina Healthcare,FIPS 55079,,,439,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Molina Healthcare]
WI,Milwaukee,Marketplace QHP,Marketplace issuer: Quartz (Marketplace),Marketplace issuer: Quartz,FIPS 55079,,,426,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Quartz]
WI,Monroe,Marketplace QHP,Marketplace issuer: Quartz (Marketplace),Marketplace issuer: Quartz,FIPS 55081,,,1210,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Quartz]
WI,Monroe,Marketplace QHP,Medica (Marketplace),Medica,FIPS 55081,,,280,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Medica]
WI,Monroe,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55081,,,142,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Oconto,Marketplace QHP,Marketplace issuer: Common Ground Healthcare Cooperative (Marketplace),Marketplace issuer: Common Ground Healthcare Cooperative,FIPS 55083,,,1534,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Common Ground Healthcare Cooperative]
WI,Oconto,Marketplace QHP,Marketplace issuer: Chorus Community Health Plans (Marketplace),Marketplace issuer: Chorus Community Health Plans,FIPS 55083,,,250,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Chorus Community Health Plans]
WI,Oconto,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55083,,,193,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Oconto,Marketplace QHP,Marketplace issuer: Dean Health Plan (Marketplace),Marketplace issuer: Dean Health Plan,FIPS 55083,,,176,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Dean Health Plan]
WI,Oconto,Marketplace QHP,Molina Healthcare (Marketplace),Molina Healthcare,FIPS 55083,,,105,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Molina Healthcare]
WI,Oconto,Marketplace QHP,HealthPartners (Marketplace),HealthPartners,FIPS 55083,,,88,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: HealthPartners]
WI,Oneida,Marketplace QHP,Marketplace issuer: Security Health Plan (Marketplace),Marketplace issuer: Security Health Plan,FIPS 55085,,,1615,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Security Health Plan]
WI,Oneida,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55085,,,590,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Oneida,Marketplace QHP,Marketplace issuer: Aspirus Health Plan (Marketplace),Marketplace issuer: Aspirus Health Plan,FIPS 55085,,,518,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Aspirus Health Plan]
WI,Outagamie,Marketplace QHP,Marketplace issuer: Common Ground Healthcare Cooperative (Marketplace),Marketplace issuer: Common Ground Healthcare Cooperative,FIPS 55087,,,5237,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Common Ground Healthcare Cooperative]
WI,Outagamie,Marketplace QHP,Marketplace issuer: Network Health (Marketplace),Marketplace issuer: Network Health,FIPS 55087,,,2090,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Network Health]
WI,Outagamie,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55087,,,1629,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Outagamie,Marketplace QHP,HealthPartners (Marketplace),HealthPartners,FIPS 55087,,,316,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: HealthPartners]
WI,Outagamie,Marketplace QHP,Molina Healthcare (Marketplace),Molina Healthcare,FIPS 55087,,,85,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Molina Healthcare]
WI,Outagamie,Marketplace QHP,Marketplace issuer: Quartz (Marketplace),Marketplace issuer: Quartz,FIPS 55087,,,83,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Quartz]
WI,Outagamie,Marketplace QHP,Marketplace issuer: Chorus Community Health Plans (Marketplace),Marketplace issuer: Chorus Community Health Plans,FIPS 55087,,,74,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Chorus Community Health Plans]
WI,Ozaukee,Marketplace QHP,UnitedHealth Group (Marketplace),UnitedHealth Group,FIPS 55089,,,1484,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: UnitedHealthcare]
WI,Ozaukee,Marketplace QHP,Marketplace issuer: Common Ground Healthcare Cooperative (Marketplace),Marketplace issuer: Common Ground Healthcare Cooperative,FIPS 55089,,,1152,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Common Ground Healthcare Cooperative]
WI,Ozaukee,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55089,,,934,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Ozaukee,Marketplace QHP,Marketplace issuer: Chorus Community Health Plans (Marketplace),Marketplace issuer: Chorus Community Health Plans,FIPS 55089,,,444,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Chorus Community Health Plans]
WI,Ozaukee,Marketplace QHP,Marketplace issuer: Network Health (Marketplace),Marketplace issuer: Network Health,FIPS 55089,,,291,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Network Health]
WI,Ozaukee,Marketplace QHP,Marketplace issuer: Quartz (Marketplace),Marketplace issuer: Quartz,FIPS 55089,,,167,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Quartz]
WI,Ozaukee,Marketplace QHP,Molina Healthcare (Marketplace),Molina Healthcare,FIPS 55089,,,76,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Molina Healthcare]
WI,Pepin,Marketplace QHP,Marketplace issuer: Security Health Plan (Marketplace),Marketplace issuer: Security Health Plan,FIPS 55091,,,297,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Security Health Plan]
WI,Pepin,Marketplace QHP,Medica (Marketplace),Medica,FIPS 55091,,,128,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Medica]
WI,Pierce,Marketplace QHP,Medica (Marketplace),Medica,FIPS 55093,,,804,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Medica]
WI,Pierce,Marketplace QHP,HealthPartners (Marketplace),HealthPartners,FIPS 55093,,,752,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: HealthPartners]
WI,Pierce,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55093,,,100,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Polk,Marketplace QHP,HealthPartners (Marketplace),HealthPartners,FIPS 55095,,,1303,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: HealthPartners]
WI,Polk,Marketplace QHP,Medica (Marketplace),Medica,FIPS 55095,,,1008,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Medica]
WI,Polk,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55095,,,174,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Portage,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55097,,,1279,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Portage,Marketplace QHP,Marketplace issuer: Aspirus Health Plan (Marketplace),Marketplace issuer: Aspirus Health Plan,FIPS 55097,,,1274,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Aspirus Health Plan]
WI,Portage,Marketplace QHP,Marketplace issuer: Security Health Plan (Marketplace),Marketplace issuer: Security Health Plan,FIPS 55097,,,857,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Security Health Plan]
WI,Price,Marketplace QHP,Marketplace issuer: Security Health Plan (Marketplace),Marketplace issuer: Security Health Plan,FIPS 55099,,,668,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Security Health Plan]
WI,Price,Marketplace QHP,Marketplace issuer: Aspirus Health Plan (Marketplace),Marketplace issuer: Aspirus Health Plan,FIPS 55099,,,180,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Aspirus Health Plan]
WI,Price,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55099,,,73,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Racine,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55101,,,2886,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
